purchase
0
161.31
24.91
85.39
0
14.15
0
56.6
0
0
0
56.6
63.68
0
77.83
0
21.23
0
84.9
0
63.68
0
42.45
28.3
9.91
0
353.75
141.5
0
7.08
0
0
0
14.15
99.05
14.15
21.23
127.35
70.75
14.15
0
7.08
21.23
0
7.08
0
64.77
0
44.84
149.47
348.77
79.72
13.95
19.93
74.47
49.65
36.59
140.28
24.4
6.1
121.98
0
121.98
0
0
6.1
21.96
12.2
24.4
0
182.97
0
0.24
7.52
3.71
8.77
0
0
24.35
14.07
24.35
0
0
0
0
36.59
9.76
13.42
6.1
0
42.69
36.59
0
73.19
50.01
121.98
0
12.2
0
0
28.3
49.82
0
18.3
0
21.23
